,"STATEN ISLAND ANNUALIZE SALE FOR 2017.  (All Sales From  January 1, 2017 - December 31, 2017)",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20
0,Sales File as of 4/9/2018.  Coop Sales Files as of 4/6/2018.,,,,,,,,,,,,,,,,,,,,
1,Neighborhood Name and Descriptive Data is as of Final Roll 17/18,,,,,,,,,,,,,,,,,,,,
2,Building Class Category is based on Building Class at Time of Sale.,,,,,,,,,,,,,,,,,,,,
3,"BOROUGH
","NEIGHBORHOOD
","BUILDING CLASS CATEGORY
",TAX CLASS AS OF FINAL ROLL 17/18,"BLOCK
","LOT
","EASE-MENT
",BUILDING CLASS AS OF FINAL ROLL 17/18,"ADDRESS
","APARTMENT NUMBER
","ZIP CODE
","RESIDENTIAL UNITS
","COMMERCIAL UNITS
","TOTAL UNITS
","LAND SQUARE FEET
","GROSS SQUARE FEET
","YEAR BUILT
","TAX CLASS AT TIME OF SALE
","BUILDING CLASS AT TIME OF SALE
","SALE PRICE
","SALE DATE
"
4,5,ANNADALE,01 ONE FAMILY DWELLINGS                    ,1,5395,19, ,A1,4 EDWIN STREET, ,10312,1,0,1,7258,2230,1980,1,A1,866000,2017-08-03 00:00:00
5,5,ANNADALE,01 ONE FAMILY DWELLINGS                    ,1,5407,10, ,A2,112 ELMBANK STREET, ,10312,1,0,1,6242,1768,1975,1,A2,735000,2017-11-07 00:00:00
6,5,ANNADALE,01 ONE FAMILY DWELLINGS                    ,1,5407,39, ,A2,193 BATHGATE STREET, ,10312,1,0,1,5000,808,1920,1,A2,350000,2017-07-17 00:00:00
7,5,ANNADALE,01 ONE FAMILY DWELLINGS                    ,1,5426,32, ,A6,3 OCEAN DRIVEWAY, ,10312,1,0,1,2500,540,1910,1,A6,0,2017-06-03 00:00:00
8,5,ANNADALE,01 ONE FAMILY DWELLINGS                    ,1,6205,15, ,A5,95 EAGAN AVENUE, ,10312,1,0,1,1546,1579,1986,1,A5,475000,2017-09-07 00:00:00
9,5,ANNADALE,01 ONE FAMILY DWELLINGS                    ,1,6205,22, ,A5,83 EAGAN AVENUE, ,10312,1,0,1,1546,1579,1986,1,A5,437500,2017-05-30 00:00:00
10,5,ANNADALE,01 ONE FAMILY DWELLINGS                    ,1,6205,58, ,A5,32 SEGUINE PLACE, ,10312,1,0,1,1471,1068,1986,1,A5,0,2017-03-13 00:00:00
11,5,ANNADALE,01 ONE FAMILY DWELLINGS                    ,1,6209,71, ,A5,191 MOSELY AVENUE, ,10312,1,0,1,2665,1592,2007,1,A5,0,2017-05-05 00:00:00
12,5,ANNADALE,01 ONE FAMILY DWELLINGS                    ,1,6211,6, ,A5,31 EAGAN AVENUE, ,10312,1,0,1,1800,1825,1986,1,A5,354900,2017-12-13 00:00:00
13,5,ANNADALE,01 ONE FAMILY DWELLINGS                    ,1,6211,14, ,A5,19 EAGAN AVENUE, ,10312,1,0,1,1508,1521,1986,1,A5,412000,2017-08-22 00:00:00
14,5,ANNADALE,01 ONE FAMILY DWELLINGS                    ,1,6211,16, ,A5,15 EAGAN AVENUE, ,10312,1,0,1,2550,1825,1986,1,A5,250000,2017-12-20 00:00:00
15,5,ANNADALE,01 ONE FAMILY DWELLINGS                    ,1,6211,34, ,A5,100 SEGUINE PLACE, ,10312,1,0,1,1550,1521,1986,1,A5,439000,2017-06-29 00:00:00
16,5,ANNADALE,01 ONE FAMILY DWELLINGS                    ,1,6211,40, ,A5,92 SEGUINE PLACE, ,10312,1,0,1,1800,1320,1986,1,A5,300000,2017-06-30 00:00:00
17,5,ANNADALE,01 ONE FAMILY DWELLINGS                    ,1,6211,40, ,A5,92 SEGUINE PLACE, ,10312,1,0,1,1800,1320,1986,1,A5,410000,2017-12-18 00:00:00
18,5,ANNADALE,01 ONE FAMILY DWELLINGS                    ,1,6212,57, ,A5,95 LORRAINE AVENUE, ,10312,1,0,1,2400,1548,2005,1,A5,520000,2017-09-19 00:00:00
19,5,ANNADALE,01 ONE FAMILY DWELLINGS                    ,1,6212,162, ,A5,93 JEANNETTE AVENUE, ,10312,1,0,1,2720,1734,2007,1,A5,600000,2017-05-23 00:00:00
20,5,ANNADALE,01 ONE FAMILY DWELLINGS                    ,1,6214,12, ,A2,143 FABIAN STREET, ,10312,1,0,1,4300,2270,1965,1,A2,675000,2017-03-03 00:00:00
21,5,ANNADALE,01 ONE FAMILY DWELLINGS                    ,1,6214,35, ,A5,54 EAGAN AVENUE, ,10312,1,0,1,2400,1368,2000,1,A5,0,2017-01-03 00:00:00
22,5,ANNADALE,01 ONE FAMILY DWELLINGS                    ,1,6216,43, ,A5,123 MOSELY AVENUE, ,10312,1,0,1,2500,1472,2001,1,A5,0,2017-02-16 00:00:00
23,5,ANNADALE,01 ONE FAMILY DWELLINGS                    ,1,6219,1, ,A5,64 LORRAINE AVENUE, ,10312,1,0,1,11830,1700,2004,1,A5,500,2017-11-09 00:00:00
24,5,ANNADALE,01 ONE FAMILY DWELLINGS                    ,1,6219,6, ,A5,68 LORRAINE AVENUE, ,10312,1,0,1,2584,1700,2004,1,A5,507500,2017-01-13 00:00:00
25,5,ANNADALE,01 ONE FAMILY DWELLINGS                    ,1,6219,19, ,A5,59 ENDVIEW STREET, ,10312,1,0,1,1759,1700,2004,1,A5,529000,2017-01-09 00:00:00
26,5,ANNADALE,01 ONE FAMILY DWELLINGS                    ,1,6219,21, ,A5,55 ENDVIEW STREET, ,10312,1,0,1,1759,1700,2004,1,A5,540000,2017-05-22 00:00:00
27,5,ANNADALE,01 ONE FAMILY DWELLINGS                    ,1,6220,7, ,A5,61 BARB STREET, ,10312,1,0,1,1585,1339,2004,1,A5,535000,2017-05-05 00:00:00
28,5,ANNADALE,01 ONE FAMILY DWELLINGS                    ,1,6220,10, ,A5,53 BARB STREET, ,10312,1,0,1,1585,1339,2004,1,A5,520000,2017-03-15 00:00:00
29,5,ANNADALE,01 ONE FAMILY DWELLINGS                    ,1,6220,21, ,A5,29 BARB STREET, ,10312,1,0,1,1485,1339,2004,1,A5,0,2017-01-06 00:00:00
30,5,ANNADALE,01 ONE FAMILY DWELLINGS                    ,1,6220,50, ,A5,12 ENDVIEW STREET, ,10312,1,0,1,1648,1344,2003,1,A5,0,2017-03-12 00:00:00
31,5,ANNADALE,01 ONE FAMILY DWELLINGS                    ,1,6220,59, ,A5,32 ENDVIEW STREET, ,10312,1,0,1,1648,1344,2003,1,A5,0,2017-11-16 00:00:00
32,5,ANNADALE,01 ONE FAMILY DWELLINGS                    ,1,6220,65, ,A5,46 ENDVIEW STREET, ,10312,1,0,1,2678,1344,2003,1,A5,406369,2017-06-09 00:00:00
33,5,ANNADALE,01 ONE FAMILY DWELLINGS                    ,1,6221,8, ,A5,1000 ARDEN AVENUE, ,10312,1,0,1,1595,1400,2005,1,A5,480000,2017-11-28 00:00:00
34,5,ANNADALE,01 ONE FAMILY DWELLINGS                    ,1,6221,46, ,A5,45 JEANNETTE AVENUE, ,10312,1,0,1,2400,1580,2004,1,A5,539900,2017-04-06 00:00:00
35,5,ANNADALE,01 ONE FAMILY DWELLINGS                    ,1,6221,47, ,A5,43 JEANNETTE AVENUE, ,10312,1,0,1,2400,1580,2004,1,A5,542000,2017-02-24 00:00:00
36,5,ANNADALE,01 ONE FAMILY DWELLINGS                    ,1,6222,40, ,A5,43 LORRAINE AVENUE, ,10312,1,0,1,2400,1500,2004,1,A5,555000,2017-04-21 00:00:00
37,5,ANNADALE,01 ONE FAMILY DWELLINGS                    ,1,6222,42, ,A5,39 LORRAINE AVENUE, ,10312,1,0,1,2400,1500,2004,1,A5,0,2017-10-04 00:00:00
38,5,ANNADALE,01 ONE FAMILY DWELLINGS                    ,1,6226,7, ,A2,822 ARDEN AVENUE, ,10312,1,0,1,6750,2478,1980,1,A2,536000,2017-10-25 00:00:00
39,5,ANNADALE,01 ONE FAMILY DWELLINGS                    ,1,6227,4, ,A2,105 JEFFERSON BOULEVARD, ,10312,1,0,1,6732,1561,1965,1,A2,0,2017-04-05 00:00:00
40,5,ANNADALE,01 ONE FAMILY DWELLINGS                    ,1,6232,76, ,A1,1002 DRUMGOOLE ROAD WEST, ,10312,1,0,1,3400,1248,1970,1,A1,0,2017-11-21 00:00:00
41,5,ANNADALE,01 ONE FAMILY DWELLINGS                    ,1,6233,25, ,A2,210 RENSSELAER AVENUE, ,10312,1,0,1,4000,960,1960,1,A2,10,2017-04-11 00:00:00
42,5,ANNADALE,01 ONE FAMILY DWELLINGS                    ,1,6234,7, ,A1,329 JEFFERSON BOULEVARD, ,10312,1,0,1,4000,2178,1965,1,A1,860000,2017-08-04 00:00:00
43,5,ANNADALE,01 ONE FAMILY DWELLINGS                    ,1,6234,80, ,A2,233 RENSSELAER AVENUE, ,10312,1,0,1,5000,1176,1965,1,A2,0,2017-03-27 00:00:00
44,5,ANNADALE,01 ONE FAMILY DWELLINGS                    ,1,6235,21, ,A1,146 SINCLAIR AVENUE, ,10312,1,0,1,8000,2240,1964,1,A1,0,2017-06-28 00:00:00
45,5,ANNADALE,01 ONE FAMILY DWELLINGS                    ,1,6235,27, ,A2,140 SINCLAIR AVENUE, ,10312,1,0,1,4000,1176,1965,1,A2,475000,2017-07-13 00:00:00
46,5,ANNADALE,01 ONE FAMILY DWELLINGS                    ,1,6236,10, ,A5,385 JEFFERSON BOULEVARD, ,10312,1,0,1,3000,1850,2000,1,A5,579900,2017-10-26 00:00:00
47,5,ANNADALE,01 ONE FAMILY DWELLINGS                    ,1,6239,83, ,A1,257 CROWN AVENUE, ,10312,1,0,1,9600,1728,1975,1,A1,837478,2017-09-27 00:00:00
48,5,ANNADALE,01 ONE FAMILY DWELLINGS                    ,1,6242,28, ,A5,48 MOSELY AVENUE, ,10312,1,0,1,4070,1200,1975,1,A5,100000,2017-04-05 00:00:00
49,5,ANNADALE,01 ONE FAMILY DWELLINGS                    ,1,6245,108, ,A1,7 FURMAN STREET, ,10312,1,0,1,6400,2076,1970,1,A1,0,2017-01-20 00:00:00
50,5,ANNADALE,01 ONE FAMILY DWELLINGS                    ,1,6245,217, ,A1,50 PINE TERRACE, ,10312,1,0,1,4700,2336,1960,1,A1,0,2017-10-05 00:00:00
