,Staten Island All Sales For 2010 (January 2010 - December 2010),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20
0,"Neighborhood Name 05/06/12, Descriptive Data is as of 05/06/12",,,,,,,,,,,,,,,,,,,,
1,Building Class Category is based on Building Class at Time of Sale.,,,,,,,,,,,,,,,,,,,,
2,BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,TAX CLASS AT PRESENT,BLOCK,LOT,EASE-MENT,BUILDING CLASS AT PRESENT,ADDRESS,APARTMENT NUMBER,ZIP CODE,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,TAX CLASS AT TIME OF SALE,BUILDING CLASS AT TIME OF SALE,SALE PRICE,SALE DATE
3,5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,5398,16, ,A1,1460 ARDEN AVENUE                        ,            ,10312,1,0,1,10000,3833,1984,1,A1,839000,2010-03-29 00:00:00
4,5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,5404,46, ,A1,119 LENZIE STREET                        ,            ,10312,1,0,1,8000,4860,1998,1,A1,0,2010-01-18 00:00:00
5,5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,5405,20, ,A2,1634 ARDEN AVENUE                        ,            ,10312,1,0,1,7500,2136,1960,1,A2,585000,2010-02-22 00:00:00
6,5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,5407,11, ,A1,24 ELMBANK STREET                        ,            ,10312,1,0,1,5000,1520,1910,1,A1,583153,2010-01-19 00:00:00
7,5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,5426,16, ,A6,14 SANDGAP STREET                        ,            ,10312,1,0,1,2500,612,1915,1,A6,0,2010-12-22 00:00:00
8,5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6205,68, ,A5,20 SEGUINE PLACE                         ,            ,10312,1,0,1,1471,1068,1986,1,A5,290000,2010-06-03 00:00:00
9,5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6205,122, ,A5,28 MAY PLACE                             ,            ,10312,1,0,1,2475,2495,1986,1,A5,0,2010-04-30 00:00:00
10,5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6205,128, ,A5,14 MAY PLACE                             ,            ,10312,1,0,1,2400,2495,1986,1,A5,493000,2010-07-21 00:00:00
11,5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6211,44, ,A5,84 SEGUINE PLACE                         ,            ,10312,1,0,1,2300,1825,1986,1,A5,418000,2010-03-31 00:00:00
