,Staten Island All Sales For 2003 (January 2003 - December 2003),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20
0,"Neighborhood Name 05/06/12, Descriptive Data is as of 05/06/12",,,,,,,,,,,,,,,,,,,,
1,Building Class Category is based on Building Class at Time of Sale.,,,,,,,,,,,,,,,,,,,,
2,BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,TAX CLASS AT PRESENT,BLOCK,LOT,EASE-MENT,BUILDING CLASS AT PRESENT,ADDRESS,APARTMENT NUMBER,ZIP CODE,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,TAX CLASS AT TIME OF SALE,BUILDING CLASS AT TIME OF SALE,SALE PRICE,SALE DATE
3,5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,5391,7, ,A5,4732 AMBOY ROAD                          ,            ,10312,1,0,1,3655,1110,2002,1,A5,365040,2003-03-05 00:00:00
4,5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,5391,8, ,A5,4730 AMBOY ROAD                          ,            ,10312,1,0,1,3149,1110,2002,1,A5,353886,2003-01-13 00:00:00
5,5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,5391,12, ,A5,4718 AMBOY ROAD                          ,            ,10312,1,0,1,1746,1110,2002,1,A5,310000,2003-07-25 00:00:00
6,5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,5391,13, ,A5,4716 AMBOY ROAD                          ,            ,10312,1,0,1,1871,1110,2002,1,A5,299130,2003-09-05 00:00:00
7,5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,5391,15, ,A5,4714 AMBOY ROAD                          ,            ,10312,1,0,1,4678,1110,2002,1,A5,304099,2003-09-19 00:00:00
8,5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,5395,15, ,A1,10 EDWIN STREET                          ,            ,10312,1,0,1,7000,2200,1980,1,A1,0,2003-09-17 00:00:00
9,5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,5400,20, ,A1,5 JANSEN STREET                          ,            ,10312,1,0,1,10000,3344,1980,1,A1,795000,2003-05-13 00:00:00
10,5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,5403,33, ,A1,91 NOEL STREET                           ,            ,10312,1,0,1,7500,6500,2002,1,A1,0,2003-01-06 00:00:00
11,5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,5404,18, ,A2,1610 LENZIE STREET                       ,            ,10312,1,0,1,7500,2128,1970,1,A2,625000,2003-02-07 00:00:00
