,Staten Island All Sales For 2005 (January 2005 - December 2005),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20
0,"Neighborhood Name 05/06/12, Descriptive Data is as of 05/06/12",,,,,,,,,,,,,,,,,,,,
1,Building Class Category is based on Building Class at Time of Sale.,,,,,,,,,,,,,,,,,,,,
2,BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,TAX CLASS AT PRESENT,BLOCK,LOT,EASE-MENT,BUILDING CLASS AT PRESENT,ADDRESS,APARTMENT NUMBER,ZIP CODE,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,TAX CLASS AT TIME OF SALE,BUILDING CLASS AT TIME OF SALE,SALE PRICE,SALE DATE
3,5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,5391,15, ,A5,4714 AMBOY ROAD                          ,            ,10312,1,0,1,4678,1110,2002,1,A5,0,2005-08-31 00:00:00
4,5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,5391,52, ,A1,575 OAKDALE STREET                       ,            ,10312,1,0,1,5000,1504,1925,1,A1,580000,2005-06-20 00:00:00
5,5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,5391,80, ,A1,15 BLUE HERON DRIVE                      ,            ,10312,1,0,1,7500,3000,1980,1,A1,962500,2005-04-20 00:00:00
6,5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,5394,8, ,A1,16 FINGAL STREET                         ,            ,10312,1,0,1,10000,5163,1985,1,A1,1250000,2005-12-22 00:00:00
7,5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,5399,37, ,A2,255 KOCH BOULEVARD                       ,            ,10312,1,0,1,8190,1528,1970,1,A2,725000,2005-10-28 00:00:00
8,5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,5400,25, ,A1,15 JANSEN STREET                         ,            ,10312,1,0,1,10000,3344,1980,1,A1,400000,2005-10-31 00:00:00
9,5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,5401,5, ,A2,28 JANSEN STREET                         ,            ,10312,1,0,1,10800,2164,1980,1,A2,0,2005-02-18 00:00:00
10,5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,5406,35, ,A1,103 ELMBANK STREET                       ,            ,10312,1,0,1,2500,1700,1999,1,A1,485000,2005-02-11 00:00:00
11,5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,5406,37, ,A1,111 ELMBANK STREET                       ,            ,10312,1,0,1,2500,1700,1999,1,A1,469000,2005-03-17 00:00:00
