,"STATEN ISLAND ANNUALIZE SALE FOR 2016.  (All Sales From  January 1, 2016 - December 31, 2016)",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20
0,Sales File as of 4/1/2017.  Coop Sales Files as of 4/7/2017.,,,,,,,,,,,,,,,,,,,,
1,Neighborhood Name and Descriptive Data is as of 05/26/16,,,,,,,,,,,,,,,,,,,,
2,Building Class Category is based on Building Class at Time of Sale.,,,,,,,,,,,,,,,,,,,,
3,"BOROUGH
","NEIGHBORHOOD
","BUILDING CLASS CATEGORY
","TAX CLASS AT PRESENT
","BLOCK
","LOT
","EASE-MENT
","BUILDING CLASS AT PRESENT
","ADDRESS
","APARTMENT NUMBER
","ZIP CODE
","RESIDENTIAL UNITS
","COMMERCIAL UNITS
","TOTAL UNITS
","LAND SQUARE FEET
","GROSS SQUARE FEET
","YEAR BUILT
","TAX CLASS AT TIME OF SALE
","BUILDING CLASS AT TIME OF SALE
","SALE PRICE
","SALE DATE
"
4,5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,5391,9, ,A5,4726 AMBOY ROAD                          ,            ,10312,1,0,1,3067,1110,2002,1,A5,520000,2016-04-21 00:00:00
5,5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,5391,30, ,A1,1306 ARDEN AVENUE                        ,            ,10312,1,0,1,7500,1890,1952,1,A1,0,2016-05-04 00:00:00
6,5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,5395,15, ,A1,10 EDWIN STREET                          ,            ,10312,1,0,1,7000,2200,1980,1,A1,10,2016-04-21 00:00:00
7,5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,5397,60, ,A1,33 EYLANDT STREET                        ,            ,10312,1,0,1,10120,3516,1984,1,A1,0,2016-08-10 00:00:00
8,5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,5399,26, ,A1,235 KOCH BOULEVARD                       ,            ,10312,1,0,1,9555,1528,1960,1,A1,0,2016-02-11 00:00:00
9,5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,5401,33, ,A1,17 WEAVER STREET                         ,            ,10312,1,0,1,11000,3214,1980,1,A1,915000,2016-01-15 00:00:00
10,5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,5405,47, ,A2,369 HAROLD AVENUE                        ,            ,10312,1,0,1,9800,1785,1980,1,A2,0,2016-01-11 00:00:00
11,5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,5406,37, ,A1,111 ELMBANK STREET                       ,            ,10312,1,0,1,2500,1700,1999,1,A1,520000,2016-03-25 00:00:00
12,5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,5408,7, ,A2,192 BATHGATE STREET                      ,            ,10312,1,0,1,2500,572,1930,1,A2,290000,2016-09-02 00:00:00
13,5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6205,24, ,A5,79 EAGAN AVENUE                          ,            ,10312,1,0,1,1845,1854,1986,1,A5,425000,2016-07-29 00:00:00
14,5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6209,69, ,A5,195 MOSELY AVENUE                        ,            ,10312,1,0,1,2665,2092,2007,1,A5,579000,2016-11-21 00:00:00
15,5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6211,4, ,A5,35 EAGAN AVENUE                          ,            ,10312,1,0,1,1508,1521,1986,1,A5,0,2016-07-25 00:00:00
16,5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6211,15, ,A5,17 EAGAN AVENUE                          ,            ,10312,1,0,1,1508,1521,1986,1,A5,370000,2016-10-14 00:00:00
17,5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6212,47, ,A5,42 LUCY LOOP                             ,            ,10312,1,0,1,2700,2200,2000,1,A5,0,2016-10-18 00:00:00
18,5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6212,50, ,A5,36 LUCY LOOP                             ,            ,10312,1,0,1,2870,2200,2000,1,A5,470000,2016-05-06 00:00:00
19,5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6212,59, ,A5,91 LORRAINE AVENUE                       ,            ,10312,1,0,1,1650,2048,2005,1,A5,468000,2016-09-07 00:00:00
20,5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6212,154, ,A1,121 JEANNETTE AVENUE                     ,            ,10312,1,0,1,4300,3500,2000,1,A1,750000,2016-07-05 00:00:00
21,5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6214,14, ,A1,137 FABIAN STREET                        ,            ,10312,1,0,1,5000,2788,1982,1,A1,750000,2016-01-22 00:00:00
22,5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6214,33, ,A5,48 EAGAN AVENUE                          ,            ,10312,1,0,1,2400,1852,2000,1,A5,490000,2016-01-06 00:00:00
23,5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6215,35, ,A1,124 FABIAN STREET                        ,            ,10312,1,0,1,7500,3664,1965,1,A1,685000,2016-10-18 00:00:00
24,5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6216,33, ,A5,10 EAGAN AVENUE                          ,            ,10312,1,0,1,2333,1515,1994,1,A5,372500,2016-05-27 00:00:00
25,5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6216,35, ,A5,14 EAGAN AVENUE                          ,            ,10312,1,0,1,1333,1515,1994,1,A5,413000,2016-09-09 00:00:00
26,5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6216,46, ,A5,115 MOSELY AVENUE                        ,            ,10312,1,0,1,2500,2008,2001,1,A5,0,2016-06-28 00:00:00
