,Staten Island All Sales For 2009 (January 2009 - December 2009),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20
0,"Neighborhood Name 05/06/12, Descriptive Data is as of 05/06/12",,,,,,,,,,,,,,,,,,,,
1,Building Class Category is based on Building Class at Time of Sale.,,,,,,,,,,,,,,,,,,,,
2,BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,TAX CLASS AT PRESENT,BLOCK,LOT,EASE-MENT,BUILDING CLASS AT PRESENT,ADDRESS,APARTMENT NUMBER,ZIP CODE,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,TAX CLASS AT TIME OF SALE,BUILDING CLASS AT TIME OF SALE,SALE PRICE,SALE DATE
3,5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,5395,19, ,A1,4 EDWIN STREET                           ,            ,10312,1,0,1,7258,2230,1980,1,A1,810000,2009-01-05 00:00:00
4,5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,5395,27, ,A1,531 SYCAMORE STREET                      ,            ,10312,1,0,1,10000,3016,1980,1,A1,930000,2009-11-18 00:00:00
5,5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,5399,9, ,A2,18 SANDBORN STREET                       ,            ,10312,1,0,1,4750,1716,1960,1,A2,425880,2009-02-24 00:00:00
6,5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,5399,31, ,A2,243 KOCH BOULEVARD                       ,            ,10312,1,0,1,5040,2102,1960,1,A2,0,2009-06-16 00:00:00
7,5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,5400,44, ,A1,37 JANSEN STREET                         ,            ,10312,1,0,1,9400,3344,1980,1,A1,940000,2009-05-20 00:00:00
8,5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,5404,43, ,A1,111 LENZIE STREET                        ,            ,10312,1,0,1,6200,4280,1998,1,A1,0,2009-10-07 00:00:00
9,5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,5406,45, ,A1,391 HAROLD AVENUE                        ,            ,10312,1,0,1,3069,2862,2004,1,A1,640000,2009-03-03 00:00:00
10,5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,5425,19, ,A1,9 SANDGAP STREET                         ,            ,10312,1,0,1,2500,1779,1950,1,A1,425000,2009-02-19 00:00:00
11,5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,5425,53, ,A1,467 HAROLD AVENUE                        ,            ,10312,1,0,1,2844,2160,1997,1,A1,0,2009-06-13 00:00:00
